UniProt ID,Gene,Protein name
O00175,CCL24,C-C motif chemokine 24
O00300,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B
O14798,TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C
O15467,CCL16,C-C motif chemokine 16
O75594,PGLYRP1,Peptidoglycan recognition protein 1
O95998,IL18BP,Interleukin-18-binding protein
P00533,EGFR,Epidermal growth factor receptor
P00749,PLAU,Urokinase-type plasminogen activator
P00750,PLAT,Tissue-type plasminogen activator
P01130,LDLR,Low-density lipoprotein receptor
P01589,IL2RA,Interleukin-2 receptor subunit alpha
P02144,MB,Myoglobin
P02452,COL1A1,Collagen alpha-1(I) chain
P02786,TFRC,Transferrin receptor protein 1
P04080,CSTB,Cystatin-B
P04085,PDGFA,Platelet-derived growth factor subunit A
P04275,VWF,von Willebrand factor
P05107,ITGB2,Integrin beta-2
P05121,SERPINE1,Plasminogen activator inhibitor 1
P05164,MPO,Myeloperoxidase
P07339,CTSD,Cathepsin D
P08253,MMP2,72 kDa type IV collagenase
P08254,MMP3,Stromelysin-1
P08833,IGFBP1,Insulin-like growth factor-binding protein 1
P08887,IL6R,Interleukin-6 receptor subunit alpha
P10451,SPP1,Osteopontin
P10646,TFPI,Tissue factor pathway inhibitor
P13500,CCL2,C-C motif chemokine 2
P13598,ICAM2,Intercellular adhesion molecule 2
P13686,ACP5,Tartrate-resistant acid phosphatase type 5
P14778,IL1R1,Interleukin-1 receptor type 1
P14780,MMP9,Matrix metalloproteinase-9
P15085,CPA1,Carboxypeptidase A1
P15086,CPB1,Carboxypeptidase B
P15090,FABP4,"Fatty acid-binding protein, adipocyte"
P15144,ANPEP,Aminopeptidase N
P16109,SELP,P-selectin
P16284,PECAM1,Platelet endothelial cell adhesion molecule
P16422,EPCAM,Epithelial cell adhesion molecule
P16581,SELE,E-selectin
P17931,LGALS3,Galectin-3
P18065,IGFBP2,Insulin-like growth factor-binding protein 2
P19438,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A
P19957,PI3,Elafin
P20160,AZU1,Azurocidin
P20333,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B
P24158,PRTN3,Myeloblastin
P25445,FAS,Tumor necrosis factor receptor superfamily member 6
P27930,IL1R2,Interleukin-1 receptor type 2
P28799,GRN,Progranulin
P30530,AXL,Tyrosine-protein kinase receptor UFO
P33151,CDH5,Cadherin-5
P35247,SFTPD,Pulmonary surfactant-associated protein D
P36222,CHI3L1,Chitinase-3-like protein 1
P36941,LTBR,Tumor necrosis factor receptor superfamily member 3
P42574,CASP3,Caspase-3
P54760,EPHB4,Ephrin type-B receptor 4
P56470,LGALS4,Galectin-4
P78324,SIRPA,Tyrosine-protein phosphatase non-receptor type substrate 1
P80370,DLK1,Protein delta homolog 1
P98160,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein
Q01638,IL1RL1,Interleukin-1 receptor-like 1
Q03405,PLAUR,Urokinase plasminogen activator surface receptor
Q07654,TFF3,Trefoil factor 3
Q12860,CNTN1,Contactin-1
Q13231,CHIT1,Chitotriosidase-1
Q13740,ALCAM,CD166 antigen
Q13867,BLMH,Bleomycin hydrolase
Q15166,PON3,Serum paraoxonase/lactonase 3
Q16270,IGFBP7,Insulin-like growth factor-binding protein 7
Q16663,CCL15,C-C motif chemokine 15
Q5T2D2,TREML2,Trem-like transcript 2 protein
Q86VB7,CD163,Scavenger receptor cysteine-rich type 1 protein M130
Q8NBP7,PCSK9,Proprotein convertase subtilisin/kexin type 9
Q92876,KLK6,Kallikrein-6
Q92956,TNFRSF14,Tumor necrosis factor receptor superfamily member 14
Q96F46,IL17RA,Interleukin-17 receptor A
Q96PL1,SCGB3A2,Secretoglobin family 3A member 2
Q99727,TIMP4,Metalloproteinase inhibitor 4
Q99969,RARRES2,Retinoic acid receptor responder protein 2
Q99988,GDF15,Growth/differentiation factor 15
Q9H2A7,CXCL16,C-X-C motif chemokine 16
Q9HCB6,SPON1,Spondin-1
Q9HCN6,GP6,Platelet glycoprotein VI
Q9HD89,RETN,Resistin
Q9NPY3,CD93,Complement component C1q receptor
Q9NQ76,MEPE,Matrix extracellular phosphoglycoprotein
Q9UBR2,CTSZ,Cathepsin Z
Q9UM47,NOTCH3,Neurogenic locus notch homolog protein 3
Q9Y275,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B
Q9Y624,F11R,Junctional adhesion molecule A
NT-proBNP,NT-proBNP,N-terminal prohormone of brain natriuretic peptide
