UniProt ID,Gene,Protein name
P48061,CXCL12,Stromal cell-derived factor 1
P78380,OLR1,Oxidized low-density lipoprotein receptor 1
Q14213_Q8NEV9,EBI3_IL27,Interleukin-27
P60568,IL2,Interleukin-2
Q07325,CXCL9,C-X-C motif chemokine 9
P01135,TGFA,Protransforming growth factor alpha
P01584,IL1B,Interleukin-1 beta
P05231,IL6,Interleukin-6
P05112,IL4,Interleukin-4
O43508,TNFSF12,Tumor necrosis factor ligand superfamily member 12
Q969D9,TSLP,Thymic stromal lymphopoietin
P51671,CCL11,Eotaxin
P14210,HGF,Hepatocyte growth factor
P49771,FLT3LG,Fms-related tyrosine kinase 3 ligand
Q96PD4,IL17F,Interleukin-17F
P13232,IL7,Interleukin-7
P35225,IL13,Interleukin-13
Q14116,IL18,Interleukin-18
Q99616,CCL13,C-C motif chemokine 13
P50591,TNFSF10,Tumor necrosis factor ligand superfamily member 10
P02778,CXCL10,C-X-C motif chemokine 10
P01579,IFNG,Interferon gamma
P22301,IL10,Interleukin-10
Q99731,CCL19,C-C motif chemokine 19
P01375,TNF,Tumor necrosis factor
P40933,IL15,Interleukin-15
P10147,CCL3,C-C motif chemokine 3
P10145,CXCL8,Interleukin-8
P39900,MMP12,Macrophage metalloelastase
P09919,CSF3,Granulocyte colony-stimulating factor
P15692,VEGFA,"Vascular endothelial growth factor A, long form"
Q9P0M4,IL17C,Interleukin-17C
P01133,EGF,Pro-epidermal growth factor
P13500,CCL2,C-C motif chemokine 2
Q16552,IL17A,Interleukin-17A
P13725,OSM,Oncostatin-M
P09603,CSF1,Macrophage colony-stimulating factor 1
P13236,CCL4,C-C motif chemokine 4
O14625,CXCL11,C-X-C motif chemokine 11
P01374,LTA,Lymphotoxin-alpha
P80098,CCL7,C-C motif chemokine 7
P03956,MMP1,Interstitial collagenase
P80075,CCL8,C-C motif chemokine 8
O95760,IL33,Interleukin-33
P04141,CSF2,Granulocyte-macrophage colony-stimulating factor
