UniProt ID,Gene,Protein name
O15123,ANGPT2,Angiopoietin-2
P05089,ARG1,Arginase-1
NT-proBNP,NT-proBNP,N-terminal prohormone of brain natriuretic peptide
A6NI73,LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5
O00161,SNAP23,Synaptosomal-associated protein 23
O43240,KLK10,Kallikrein-10
O43827,ANGPTL7,Angiopoietin-related protein 7
O75356,ENTPD5,Nucleoside diphosphate phosphatase ENTPD5
O75791,GRAP2,GRB2-related adapter protein 2
O95502,NPTXR,Neuronal pentraxin receptor
O95544,NADK,NAD kinase
O95841,ANGPTL1,Angiopoietin-related protein 1
P00352,ALDH1A1,Aldehyde dehydrogenase 1A1
P01222,TSHB,Thyrotropin subunit beta
P09104,ENO2,Gamma-enolase
P09417,QDPR,Dihydropteridine reductase
P09467,FBP1,"Fructose-1,6-bisphosphatase 1"
P09525,ANXA4,Annexin A4
P09668,CTSH,Pro-cathepsin H
P12724,RNASE3,Eosinophil cationic protein
P13611,VCAN,Versican core protein
P16083,NQO2,Ribosyldihydronicotinamide dehydrogenase [quinone]
P19022,CDH2,Cadherin-2
P19971,TYMP,Thymidine phosphorylase
P20711,DDC,Aromatic-L-amino-acid decarboxylase
P21964,COMT,Catechol O-methyltransferase
P22466,GAL,Galanin peptides
P23526,AHCY,Adenosylhomocysteinase
P25815,S100P,Protein S100-P
P26010,ITGB7,Integrin beta-7
P27695,APEX1,DNA repair nuclease/redox regulator APEX1
P29017,CD1C,T-cell surface glycoprotein CD1c
P31431,SDC4,Syndecan-4
P35237,SERPINB6,Serpin B6
P35754,GLRX,Glutaredoxin-1
P40259,CD79B,B-cell antigen receptor complex-associated protein beta chain
P40818,USP8,Ubiquitin carboxyl-terminal hydrolase 8
P41236,PPP1R2,Protein phosphatase inhibitor 2
P43234,CTSO,Cathepsin O
P46109,CRKL,Crk-like protein
P46379,BAG6,Large proline-rich protein BAG6
P50452,SERPINB8,Serpin B8
P50995,ANXA11,Annexin A11
P51693,APLP1,Amyloid beta precursor like protein 1
P51858,HDGF,Hepatoma-derived growth factor
P52888,THOP1,Thimet oligopeptidase
P98082,DAB2,Disabled homolog 2
Q01973,ROR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1
Q02790,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4
Q03403,TFF2,Trefoil factor 2
Q04900,CD164,Sialomucin core protein 24
Q06418,TYRO3,Tyrosine-protein kinase receptor TYRO3
Q13275,SEMA3F,Semaphorin-3F
Q15155,NOMO1,BOS complex subunit NOMO1
Q15846,CLUL1,Clusterin-like protein 1
Q16773,KYAT1,Kynurenine--oxoglutarate transaminase 1
Q16820,MEP1B,Meprin A subunit beta
Q641Q3,METRNL,Meteorin-like protein
Q6UWV6,ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7
Q6WN34,CHRDL2,Chordin-like protein 2
Q76M96,CCDC80,Coiled-coil domain-containing protein 80
Q86VZ4,LRP11,Low-density lipoprotein receptor-related protein 11
Q8IZP9,ADGRG2,Adhesion G-protein coupled receptor G2
Q8N1Q1,CA13,Carbonic anhydrase 13
Q8NBJ7,SUMF2,Inactive C-alpha-formylglycine-generating enzyme 2
Q8NBS9,TXNDC5,Thioredoxin domain-containing protein 5
Q8NI22,MCFD2,Multiple coagulation factor deficiency protein 2
Q8WTU2,SSC4D,Scavenger receptor cysteine-rich domain-containing group B protein
Q8WVQ1,CANT1,Soluble calcium-activated nucleotidase 1
Q8WX77,IGFBPL1,Insulin-like growth factor-binding protein-like 1
Q92520,FAM3C,Protein FAM3C
Q92692,NECTIN2,Nectin-2
Q96JA1,LRIG1,Leucine-rich repeats and immunoglobulin-like domains protein 1
Q96LA6,FCRL1,Fc receptor-like protein 1
Q9BQB4,SOST,Sclerostin
Q9BYZ8,REG4,Regenerating islet-derived protein 4
Q9BZR6,RTN4R,Reticulon-4 receptor
Q9GZM7,TINAGL1,Tubulointerstitial nephritis antigen-like
Q9H4D0,CLSTN2,Calsyntenin-2
Q9H6B4,CLMP,CXADR-like membrane protein
Q9HBB8,CDHR5,Cadherin-related family member 5
Q9NPH0,ACP6,Lysophosphatidic acid phosphatase type 6
Q9NQX5,NPDC1,Neural proliferation differentiation and control protein 1
Q9NR28,DIABLO,Diablo IAP-binding mitochondrial protein
Q9NWQ8,PAG1,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
Q9NY25,CLEC5A,C-type lectin domain family 5 member A
Q9UBU3,GHRL,Appetite-regulating hormone
Q9UHL4,DPP7,Dipeptidyl peptidase 2
Q9UHX3,ADGRE2,Adhesion G protein-coupled receptor E2
Q9UKJ0,PILRB,Paired immunoglobulin-like type 2 receptor beta
Q9Y286,SIGLEC7,Sialic acid-binding Ig-like lectin 7
Q9Y5K6,CD2AP,CD2-associated protein
