UniProt ID;Gene;Protein name
Q8IZJ0;IFNL2;Interferon lambda-2
Q7L311;ARMCX2;Armadillo repeat-containing X-linked protein 2
Q5U5Z8;AGBL2;Cytosolic carboxypeptidase 2
O75631;UPK3A;Uroplakin-3a
Q9UKW4;VAV3;Guanine nucleotide exchange factor VAV3
O76039;CDKL5;Cyclin-dependent kinase-like 5
Q96PV0;SYNGAP1;Ras/Rap GTPase-activating protein SynGAP
O95049;TJP3;Tight junction protein ZO-3
Q13509;TUBB3;Tubulin beta-3 chain
P35221;CTNNA1;Catenin alpha-1
O75312;ZPR1;Zinc finger protein ZPR1
Q13224;GRIN2B;Glutamate receptor ionotropic, NMDA 2B
P48169;GABRA4;Gamma-aminobutyric acid receptor subunit alpha-4
Q9NY72;SCN3B;Sodium channel regulatory subunit beta-3
Q9NQW8;CNGB3;Cyclic nucleotide-gated cation channel beta-3
Q96J84;KIRREL1;Kin of IRRE-like protein 1
P26441;CNTF;Ciliary neurotrophic factor
O43474;KLF4;Krueppel-like factor 4
P43220;GLP1R;Glucagon-like peptide 1 receptor
P41732;TSPAN7;Tetraspanin-7
P60880;SNAP25;Synaptosomal-associated protein 25
P49792;RANBP2;E3 SUMO-protein ligase RanBP2
Q03721;KCNC4;Potassium voltage-gated channel subfamily C member 4
Q17R60;IMPG1;Interphotoreceptor matrix proteoglycan 1
Q14894;CRYM;Ketimine reductase mu-crystallin
Q96Q89;KIF20B;Kinesin-like protein KIF20B
O95372;LYPLA2;Acyl-protein thioesterase 2
Q9H461;FZD8;Frizzled-8
Q96P66;GPR101;Probable G-protein coupled receptor 101
Q02641;CACNB1;Voltage-dependent L-type calcium channel subunit beta-1
Q8N111;CEND1;Cell cycle exit and neuronal differentiation protein 1
Q5SXM8;DNLZ;DNL-type zinc finger protein
Q30KQ4;DEFB116;Beta-defensin 116
P08908;HTR1A;5-hydroxytryptamine receptor 1A
Q7RTW8;OTOA;Otoancorin
P25440;BRD2;Bromodomain-containing protein 2
P04234;CD3D;T-cell surface glycoprotein CD3 delta chain
Q96L15;ART5;Ecto-ADP-ribosyltransferase 5
Q15042;RAB3GAP1;Rab3 GTPase-activating protein catalytic subunit
Q96GG9;DCUN1D1;DCN1-like protein 1
Q19T08;ECSCR;Endothelial cell-specific chemotaxis regulator
Q9UKV0;HDAC9;Histone deacetylase 9
Q99250;SCN2A;Sodium channel protein type 2 subunit alpha
P52179;MYOM1;Myomesin-1
Q9BZ29;DOCK9;Dedicator of cytokinesis protein 9
