UniProt ID;Gene;Protein name
P0DPI2;GATD3;Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial
Q8IZC4;RTKN2;Rhotekin-2
P78524;DENND2B;DENN domain-containing protein 2B
Q9H2M3;BHMT2;S-methylmethionine--homocysteine S-methyltransferase BHMT2
P55769;SNU13;NHP2-like protein 1
O43734;TRAF3IP2;E3 ubiquitin ligase TRAF3IP2
O00567;NOP56;Nucleolar protein 56
Q15477;SKIC2;Superkiller complex protein 2
P25391;LAMA1;Laminin subunit alpha-1
P06753;TPM3;Tropomyosin alpha-3 chain
P48507;GCLM;Glutamate--cysteine ligase regulatory subunit
Q9NZJ5;EIF2AK3;Eukaryotic translation initiation factor 2-alpha kinase 3
Q9Y623;MYH4;Myosin-4
P23634;ATP2B4;Plasma membrane calcium-transporting ATPase 4
O14958;CASQ2;Calsequestrin-2
O95180;CACNA1H;Voltage-dependent T-type calcium channel subunit alpha-1H
P54709;ATP1B3;Sodium/potassium-transporting ATPase subunit beta-3
Q13503;MED21;Mediator of RNA polymerase II transcription subunit 21
P08913;ADRA2A;Alpha-2A adrenergic receptor
P49755;TMED10;Transmembrane emp24 domain-containing protein 10
Q96DA2;RAB39B;Ras-related protein Rab-39B
P46783;RPS10;Small ribosomal subunit protein eS10
O00291;HIP1;Huntingtin-interacting protein 1
P04141;CSF2;Granulocyte-macrophage colony-stimulating factor
A6NCE7;MAP1LC3B2;Microtubule-associated proteins 1A/1B light chain 3 beta 2
Q9Y3B8;REXO2;Oligoribonuclease, mitochondrial
Q6UWF7;NXPE4;NXPE family member 4
P55011;SLC12A2;Solute carrier family 12 member 2
P10109;FDX1;Adrenodoxin, mitochondrial
P30049;ATP5F1D;ATP synthase subunit delta, mitochondrial
P33121;ACSL1;Long-chain-fatty-acid--CoA ligase 1
O60701;UGDH;UDP-glucose 6-dehydrogenase
Q9BY32;ITPA;Inosine triphosphate pyrophosphatase
Q01780;EXOSC10;Exosome complex component 10
Q08499;PDE4D;3',5'-cyclic-AMP phosphodiesterase 4D
P21817;RYR1;Ryanodine receptor 1
Q96HD9;ACY3;N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)
P35228;NOS2;Nitric oxide synthase, inducible
E2RYF7;HCG22;Protein PBMUCL2
Q9NVZ3;NECAP2;Adaptin ear-binding coat-associated protein 2
Q9Y4C8;RBM19;Probable RNA-binding protein 19
Q07973;CYP24A1;1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial
Q04695;KRT17;Keratin, type I cytoskeletal 17
Q15059;BRD3;Bromodomain-containing protein 3
B6SEH8;ERVV-1;Endogenous retrovirus group V member 1 Env polyprotein
O95858;TSPAN15;Tetraspanin-15
Q9H347;UBQLN3;Ubiquilin-3
P06729;CD2;T-cell surface antigen CD2
Q96IW2;SHD;SH2 domain-containing adapter protein D
A6BM72;MEGF11;Multiple epidermal growth factor-like domains protein 11
Q9UKX7;NUP50;Nuclear pore complex protein Nup50
Q96LB8;PGLYRP4;Peptidoglycan recognition protein 4
Q9NV35;NUDT15;Nucleotide triphosphate diphosphatase NUDT15
Q10587;TEF;Thyrotroph embryonic factor
Q13296;SCGB2A2;Mammaglobin-A
P20929;NEB;Nebulin
Q5TA50;CPTP;Ceramide-1-phosphate transfer protein
Q86UW2;SLC51B;Organic solute transporter subunit beta
Q8WZ42;TTN;Titin
Q9UFP1;GASK1A;Golgi-associated kinase 1A
Q99707;MTR;Methionine synthase
P21673;SAT1;Diamine acetyltransferase 1
O00425;IGF2BP3;Insulin-like growth factor 2 mRNA-binding protein 3
O43290;SART1;U4/U6.U5 tri-snRNP-associated protein 1
Q92935;EXTL1;Exostosin-like 1
Q8N8E3;CEP112;Centrosomal protein of 112 kDa
P16066;NPR1;Atrial natriuretic peptide receptor 1
Q6NZY4;ZCCHC8;Zinc finger CCHC domain-containing protein 8
P14415;ATP1B2;Sodium/potassium-transporting ATPase subunit beta-2
Q96K76;USP47;Ubiquitin carboxyl-terminal hydrolase 47
P05976;MYL1;Myosin light chain 1/3, skeletal muscle isoform
Q9Y2Y0;ARL2BP;ADP-ribosylation factor-like protein 2-binding protein
Q14088;RAB33A;Ras-related protein Rab-33A
P38935;IGHMBP2;DNA-binding protein SMUBP-2
P05026;ATP1B1;Sodium/potassium-transporting ATPase subunit beta-1
O15305;PMM2;Phosphomannomutase 2
Q9BW61;DDA1;DET1- and DDB1-associated protein 1
Q15370;ELOB;Elongin-B
Q8NET8;TRPV3;Transient receptor potential cation channel subfamily V member 3
P05000;IFNW1;Interferon omega-1
Q15018;ABRAXAS2;BRISC complex subunit Abraxas 2
P54296;MYOM2;Myomesin-2
Q16836;HADH;Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial
Q14353;GAMT;Guanidinoacetate N-methyltransferase
P23511;NFYA;Nuclear transcription factor Y subunit alpha
Q07075;ENPEP;Glutamyl aminopeptidase
Q9BV94;EDEM2;ER degradation-enhancing alpha-mannosidase-like protein 2
Q02127;DHODH;Dihydroorotate dehydrogenase (quinone), mitochondrial
P57078;RIPK4;Receptor-interacting serine/threonine-protein kinase 4
Q6ZN66;GBP6;Guanylate-binding protein 6
Q9BZL6;PRKD2;Serine/threonine-protein kinase D2
A6NHS7;MANSC4;MANSC domain-containing protein 4
O75521;ECI2;Enoyl-CoA delta isomerase 2
P12270;TPR;Nucleoprotein TPR
Q9NYX4;CALY;Neuron-specific vesicular protein calcyon
P37058;HSD17B3;17-beta-hydroxysteroid dehydrogenase type 3
Q9BZC7;ABCA2;ATP-binding cassette sub-family A member 2
Q6P4F2;FDX2;Ferredoxin-2, mitochondrial
Q16774;GUK1;Guanylate kinase
Q9UNN8;PROCR;Endothelial protein C receptor
P10082;PYY;Peptide YY
O15018;PDZD2;PDZ domain-containing protein 2
P0C7L1;SPINK8;Serine protease inhibitor Kazal-type 8
Q7Z7H5;TMED4;Transmembrane emp24 domain-containing protein 4
Q9Y2L6;FRMD4B;FERM domain-containing protein 4B
P55010;EIF5;Eukaryotic translation initiation factor 5
Q01581;HMGCS1;Hydroxymethylglutaryl-CoA synthase, cytoplasmic
Q12986;NFX1;Transcriptional repressor NF-X1
P22033;MMUT;Methylmalonyl-CoA mutase, mitochondrial
