UniProt ID;Gene;Protein name
P22307;SCP2;Sterol carrier protein 2
Q6NXT1;ANKRD54;Ankyrin repeat domain-containing protein 54
Q7Z6M1;RABEPK;Rab9 effector protein with kelch motifs
Q7Z7D3;VTCN1;V-set domain-containing T-cell activation inhibitor 1
P54727;RAD23B;UV excision repair protein RAD23 homolog B
Q92982;NINJ1;Ninjurin-1
P01242;GH2;Growth hormone variant
Q6PGN9;PSRC1;Proline/serine-rich coiled-coil protein 1
O14662;STX16;Syntaxin-16
P06731;CEACAM5;Carcinoembryonic antigen-related cell adhesion molecule 5
O60828;PQBP1;Polyglutamine-binding protein 1
A4D1B5;GSAP;Gamma-secretase-activating protein
Q7LG56;RRM2B;Ribonucleoside-diphosphate reductase subunit M2 B
O14964;HGS;Hepatocyte growth factor-regulated tyrosine kinase substrate
Q9P0J1;PDP1;[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial
P49788;RARRES1;Retinoic acid receptor responder protein 1
O75787;ATP6AP2;Renin receptor
Q9H4P4;RNF41;E3 ubiquitin-protein ligase NRDP1
Q9Y5V3;MAGED1;Melanoma-associated antigen D1
Q8N5S9;CAMKK1;Calcium/calmodulin-dependent protein kinase kinase 1
Q9NRA1;PDGFC;Platelet-derived growth factor C
P35813;PPM1A;Protein phosphatase 1A
P43629;KIR3DL1;Killer cell immunoglobulin-like receptor 3DL1
Q08AG7;MZT1;Mitotic-spindle organizing protein 1
P31350;RRM2;Ribonucleoside-diphosphate reductase subunit M2
P41586;ADCYAP1R1;Pituitary adenylate cyclase-activating polypeptide type I receptor
Q9NS15;LTBP3;Latent-transforming growth factor beta-binding protein 3
P39748;FEN1;Flap endonuclease 1
Q6BAA4;FCRLB;Fc receptor-like B
P50749;RASSF2;Ras association domain-containing protein 2
O75493;CA11;Carbonic anhydrase-related protein 11
Q9Y243;AKT3;RAC-gamma serine/threonine-protein kinase
P21810;BGN;Biglycan
P35070;BTC;Probetacellulin
P48643;CCT5;T-complex protein 1 subunit epsilon
Q9UKR0;KLK12;Kallikrein-12
Q07960;ARHGAP1;Rho GTPase-activating protein 1
P46060;RANGAP1;Ran GTPase-activating protein 1
Q7Z434;MAVS;Mitochondrial antiviral-signaling protein
Q05516;ZBTB16;Zinc finger and BTB domain-containing protein 16
Q7L5Y9;MAEA;E3 ubiquitin-protein transferase MAEA
P07332;FES;Tyrosine-protein kinase Fes/Fps
P34130;NTF4;Neurotrophin-4
Q96NB1;CEP20;Centrosomal protein 20
O15116;LSM1;U6 snRNA-associated Sm-like protein LSm1
Q9Y265;RUVBL1;RuvB-like 1
O00221;NFKBIE;NF-kappa-B inhibitor epsilon
Q9UKS7;IKZF2;Zinc finger protein Helios
Q9P0V8;SLAMF8;SLAM family member 8
P31994;FCGR2B;Low affinity immunoglobulin gamma Fc region receptor II-b
Q3B7J2;GFOD2;Glucose-fructose oxidoreductase domain-containing protein 2
Q13490;BIRC2;Baculoviral IAP repeat-containing protein 2
Q8IWL1;SFTPA2;Pulmonary surfactant-associated protein A2
O43752;STX6;Syntaxin-6
O60907;TBL1X;F-box-like/WD repeat-containing protein TBL1X
P25786;PSMA1;Proteasome subunit alpha type-1
Q9UQQ2;SH2B3;SH2B adapter protein 3
O75380;NDUFS6;NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial
O75569;PRKRA;Interferon-inducible double-stranded RNA-dependent protein kinase activator A
O95786;RIGI;Antiviral innate immune response receptor RIG-I
P43490;NAMPT;Nicotinamide phosphoribosyltransferase
Q6EIG7;CLEC6A;C-type lectin domain family 6 member A
Q9Y2Z0;SUGT1;Protein SGT1 homolog
Q8WUX2;CHAC2;Glutathione-specific gamma-glutamylcyclotransferase 2
Q9Y223;GNE;Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase
P04637;TP53;Cellular tumor antigen p53
Q06787;FMR1;Fragile X messenger ribonucleoprotein 1
P55008;AIF1;Allograft inflammatory factor 1
Q9Y639;NPTN;Neuroplastin
P01375;TNF;Tumor necrosis factor
P30260;CDC27;Cell division cycle protein 27 homolog
Q01543;FLI1;Friend leukemia integration 1 transcription factor
O00186;STXBP3;Syntaxin-binding protein 3
Q6P2H3;CEP85;Centrosomal protein of 85 kDa
Q16772;GSTA3;Glutathione S-transferase A3
Q8TD06;AGR3;Anterior gradient protein 3
P15121;AKR1B1;Aldo-keto reductase family 1 member B1
P40198;CEACAM3;Carcinoembryonic antigen-related cell adhesion molecule 3
Q8WYN0;ATG4A;Cysteine protease ATG4A
P14136;GFAP;Glial fibrillary acidic protein
P01229;LHB;Lutropin subunit beta
Q9BSW2;CRACR2A;EF-hand calcium-binding domain-containing protein 4B
Q9UQB8;BAIAP2;Brain-specific angiogenesis inhibitor 1-associated protein 2
Q6UX82;LYPD8;Ly6/PLAUR domain-containing protein 8
Q9UHF1;EGFL7;Epidermal growth factor-like protein 7
Q99683;MAP3K5;Mitogen-activated protein kinase kinase kinase 5
Q96DU3;SLAMF6;SLAM family member 6
P35637;FUS;RNA-binding protein FUS
P06850;CRH;Corticoliberin
Q8IUK5;PLXDC1;Plexin domain-containing protein 1
P55789;GFER;FAD-linked sulfhydryl oxidase ALR
Q9Y5L3;ENTPD2;Ectonucleoside triphosphate diphosphohydrolase 2
P0CG37;CFC1;Cryptic protein
Q96PQ0;SORCS2;VPS10 domain-containing receptor SorCS2
P01275;GCG;Pro-glucagon
Q9NX58;LYAR;Cell growth-regulating nucleolar protein
P10747;CD28;T-cell-specific surface glycoprotein CD28
O60760;HPGDS;Hematopoietic prostaglandin D synthase
Q13145;BAMBI;BMP and activin membrane-bound inhibitor homolog
O14713;ITGB1BP1;Integrin beta-1-binding protein 1
P09110;ACAA1;3-ketoacyl-CoA thiolase, peroxisomal
P51580;TPMT;Thiopurine S-methyltransferase
O43524;FOXO3;Forkhead box protein O3
P36888;FLT3;Receptor-type tyrosine-protein kinase FLT3
Q9BQ51;PDCD1LG2;Programmed cell death 1 ligand 2
P08069;IGF1R;Insulin-like growth factor 1 receptor
