UniProt ID,Gene,Protein name
P39905,GDNF,Glial cell line-derived neurotrophic factor
O95727,CRTAM,Cytotoxic and regulatory T-cell molecule
P01138,NGF,Beta-nerve growth factor
P12544,GZMA,Granzyme A
Q9NP84,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A
O75509,TNFRSF21,Tumor necrosis factor receptor superfamily member 21
P29459_P29460,IL12A_IL12B,Interleukin-12
O00214,LGALS8,Galectin-8
O14594,NCAN,Neurocan core protein
O14793,MSTN,Growth/differentiation factor 8
O15197,EPHB6,Ephrin type-B receptor 6
O15232,MATN3,Matrilin-3
O43155,FLRT2,Leucine-rich repeat transmembrane protein FLRT2
O43157,PLXNB1,Plexin-B1
O43561,LAT,Linker for activation of T-cells family member 1
O60462,NRP2,Neuropilin-2
O60609,GFRA3,GDNF family receptor alpha-3
O75077,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23
O94779,CNTN5,Contactin-5
O95185,UNC5C,Netrin receptor UNC5C
P04216,THY1,Thy-1 membrane glycoprotein
P08473,MME,Neprilysin
P09919,CSF3,Granulocyte colony-stimulating factor
P10636,MAPT,Microtubule-associated protein tau
P12644,BMP4,Bone morphogenetic protein 4
P14384,CPM,Carboxypeptidase M
P15151,PVR,Poliovirus receptor
P15311,EZR,Ezrin
P15509,CSF2RA,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
P16234,PDGFRA,Platelet-derived growth factor receptor alpha
P17405,SMPD1,Sphingomyelin phosphodiesterase
P21757,MSR1,Macrophage scavenger receptor types I and II
P22223,CDH3,Cadherin-3
P25774,CTSS,Cathepsin S
P28907,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
P30533,LRPAP1,Alpha-2-macroglobulin receptor-associated protein
P37023,ACVRL1,Serine/threonine-protein kinase receptor R3
P41217,CD200,OX-2 membrane glycoprotein
P41271,NBL1,Neuroblastoma suppressor of tumorigenicity 1
P48052,CPA2,Carboxypeptidase A2
P52798,EFNA4,Ephrin-A4
P53634,CTSC,Dipeptidyl peptidase 1
P55145,MANF,Mesencephalic astrocyte-derived neurotrophic factor
P55285,CDH6,Cadherin-6
P56159,GFRA1,GDNF family receptor alpha-1
P57087,JAM2,Junctional adhesion molecule B
P78333,GPC5,Glypican-5
Q01344,IL5RA,Interleukin-5 receptor subunit alpha
Q02083,NAAA,N-acylethanolamine-hydrolyzing acid amidase
Q08345,DDR1,Epithelial discoidin domain-containing receptor 1
Q08629,SPOCK1,Testican-1
Q08708,CD300C,CMRF35-like molecule 6
Q14108,SCARB2,Lysosome membrane protein 2
Q16288,NTRK3,NT-3 growth factor receptor
Q16620,NTRK2,BDNF/NT-3 growth factors receptor
Q16719,KYNU,Kynureninase
Q16775,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial"
Q2MKA7,RSPO1,R-spondin-1
Q2TAL6,VWC2,Brorin
Q2VWP7,PRTG,Protogenin
Q6ISS4,LAIR2,Leukocyte-associated immunoglobulin-like receptor 2
Q6NW40,RGMB,Repulsive guidance molecule B
Q6UX15,LAYN,Layilin
Q6ZMJ2,SCARA5,Scavenger receptor class A member 5
Q8IUN9,CLEC10A,C-type lectin domain family 10 member A
Q8N126,CADM3,Cell adhesion molecule 3
Q8NBI3,DRAXIN,Draxin
Q8NFP4,MDGA1,MAM domain-containing glycosylphosphatidylinositol anchor protein 1
Q8TD46,CD200R1,Cell surface glycoprotein CD200 receptor 1
Q8TDQ1,CD300LF,CMRF35-like molecule 1
Q92752,TNR,Tenascin-R
Q92765,FRZB,Secreted frizzled-related protein 3
Q92823,NRCAM,Neuronal cell adhesion molecule
Q96B86,RGMA,Repulsive guidance molecule A
Q96GP6,SCARF2,Scavenger receptor class F member 2
Q96GW7,BCAN,Brevican core protein
Q96LA5,FCRL2,Fc receptor-like protein 2
Q96NZ8,WFIKKN1,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1"
Q9BS40,LXN,Latexin
Q9BZM5,ULBP2,UL16-binding protein 2
Q9BZZ2,SIGLEC1,Sialoadhesin
Q9H3S3,TMPRSS5,Transmembrane protease serine 5
Q9H3U7,SMOC2,SPARC-related modular calcium-binding protein 2
Q9HAN9,NMNAT1,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1
Q9HAV5,EDA2R,Tumor necrosis factor receptor superfamily member 27
Q9HCK4,ROBO2,Roundabout homolog 2
Q9NR71,ASAH2,Neutral ceramidase
Q9P0K1,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22
Q9P126,CLEC1B,C-type lectin domain family 1 member B
Q9UBT3,DKK4,Dickkopf-related protein 4
Q9ULL4,PLXNB3,Plexin-B3
Q9Y336,SIGLEC9,Sialic acid-binding Ig-like lectin 9
