UniProt ID,Gene,Protein name
Q14005,IL16,Pro-interleukin-16
O15444,CCL25,C-C motif chemokine 25
Q9NP99,TREM1,Triggering receptor expressed on myeloid cells 1
P17948,FLT1,Vascular endothelial growth factor receptor 1
P06731,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5
P18510,IL1RN,Interleukin-1 receptor antagonist protein
P01583,IL1A,Interleukin-1 alpha
Q9GZV9,FGF23,Fibroblast growth factor 23
P15018,LIF,Leukemia inhibitory factor
Q8IU54,IFNL1,Interferon lambda-1
P43489,TNFRSF4,Tumor necrosis factor receptor superfamily member 4
Q9NSA1,FGF21,Fibroblast growth factor 21
Q92583,CCL17,C-C motif chemokine 17
P48023,FASLG,Tumor necrosis factor ligand superfamily member 6
P78556,CCL20,C-C motif chemokine 20
Q8TAD2,IL17D,Interleukin-17D
O43927,CXCL13,C-X-C motif chemokine 13
P18627,LAG3,Lymphocyte activation gene 3 protein
P15514,AREG,Amphiregulin
P10144,GZMB,Granzyme B
P05113,IL5,Interleukin-5
O43557,TNFSF14,Tumor necrosis factor ligand superfamily member 14
P35968,KDR,Vascular endothelial growth factor receptor 2
Q15116,PDCD1,Programmed cell death protein 1
P12544,GZMA,Granzyme A
Q9NYY1,IL20,Interleukin-20
P49763,PGF,Placenta growth factor
P24001,IL32,Interleukin-32
P01588,EPO,Erythropoietin
Q07011,TNFRSF9,Tumor necrosis factor receptor superfamily member 9
P24394,IL4R,Interleukin-4 receptor subunit alpha
P09341,CXCL1,Growth-regulated alpha protein
P09038,FGF2,Fibroblast growth factor 2
P10747,CD28,T-cell-specific surface glycoprotein CD28
Q96D42,HAVCR1,Hepatitis A virus cellular receptor 1
P01563,IFNA2,Interferon alpha-2
P01574,IFNB1,Interferon beta
P05783,KRT18,"Keratin, type I cytoskeletal 18"
P33681,CD80,T-lymphocyte activation antigen CD80
Q6EBC2,IL31,Interleukin-31
Q9GZX6,IL22,Interleukin-22
Q9H293,IL25,Interleukin-25
Q9UHD0,IL19,Interleukin-19
Q9Y258,CCL26,C-C motif chemokine 26
