UniProt ID;Gene;Protein name
Q9Y5P4;CERT1;Ceramide transfer protein
P23381;WARS1;Tryptophan--tRNA ligase, cytoplasmic
Q86VW0;SESTD1;SEC14 domain and spectrin repeat-containing protein 1
P53539;FOSB;Protein FosB
Q92597;NDRG1;Protein NDRG1
A1E959;ODAM;Odontogenic ameloblast-associated protein
P60484;PTEN;Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN
Q8IU54;IFNL1;Interferon lambda-1
P51531;SMARCA2;Probable global transcription activator SNF2L2
O14579;COPE;Coatomer subunit epsilon
P15336;ATF2;Cyclic AMP-dependent transcription factor ATF-2
P53985;SLC16A1;Monocarboxylate transporter 1
P02533;KRT14;Keratin, type I cytoskeletal 14
P22676;CALB2;Calretinin
Q4LE39;ARID4B;AT-rich interactive domain-containing protein 4B
Q9NSK7;C19orf12;Protein C19orf12
Q8WTV0;SCARB1;Scavenger receptor class B member 1
Q9UKV5;AMFR;E3 ubiquitin-protein ligase AMFR
P45452;MMP13;Collagenase 3
Q6ZMJ4;IL34;Interleukin-34
P08758;ANXA5;Annexin A5
P48047;ATP5PO;ATP synthase subunit O, mitochondrial
Q6ZMC9;SIGLEC15;Sialic acid-binding Ig-like lectin 15
Q6PIL6;KCNIP4;Kv channel-interacting protein 4
Q6P1M0;SLC27A4;Long-chain fatty acid transport protein 4
P53582;METAP1;Methionine aminopeptidase 1
P13385;CRIPTO;Protein Cripto
Q9NRW1;RAB6B;Ras-related protein Rab-6B
P05455;SSB;Lupus La protein
O96013;PAK4;Serine/threonine-protein kinase PAK 4
Q9NXA8;SIRT5;NAD-dependent protein deacylase sirtuin-5, mitochondrial
Q8N2G4;LYPD1;Ly6/PLAUR domain-containing protein 1
P49023;PXN;Paxillin
Q9BXS1;IDI2;Isopentenyl-diphosphate delta-isomerase 2
P15018;LIF;Leukemia inhibitory factor
Q9H1C3;GLT8D2;Glycosyltransferase 8 domain-containing protein 2
P20936;RASA1;Ras GTPase-activating protein 1
P51452;DUSP3;Dual specificity protein phosphatase 3
P09769;FGR;Tyrosine-protein kinase Fgr
P14625;HSP90B1;Endoplasmin
P10636;MAPT;Microtubule-associated protein tau
Q9HAW4;CLSPN;Claspin
Q9UM07;PADI4;Protein-arginine deiminase type-4
P26440;IVD;Isovaleryl-CoA dehydrogenase, mitochondrial
P29474;NOS3;Nitric oxide synthase 3
O60240;PLIN1;Perilipin-1
P41208;CETN2;Centrin-2
Q9Y6E0;STK24;Serine/threonine-protein kinase 24
Q9UJY5;GGA1;ADP-ribosylation factor-binding protein GGA1
P30039;PBLD;Phenazine biosynthesis-like domain-containing protein
Q5JZY3;EPHA10;Ephrin type-A receptor 10
Q02643;GHRHR;Growth hormone-releasing hormone receptor
Q9BW30;TPPP3;Tubulin polymerization-promoting protein family member 3
Q16864;ATP6V1F;V-type proton ATPase subunit F
Q9HA65;TBC1D17;TBC1 domain family member 17
Q96PP9;GBP4;Guanylate-binding protein 4
Q9Y680;FKBP7;Peptidyl-prolyl cis-trans isomerase FKBP7
Q03393;PTS;6-pyruvoyl tetrahydrobiopterin synthase
P01375;TNF;Tumor necrosis factor
P58417;NXPH1;Neurexophilin-1
Q15126;PMVK;Phosphomevalonate kinase
Q6UX27;VSTM1;V-set and transmembrane domain-containing protein 1
Q15043;SLC39A14;Metal cation symporter ZIP14
Q9UK53;ING1;Inhibitor of growth protein 1
P29466;CASP1;Caspase-1
Q9H0C8;ILKAP;Integrin-linked kinase-associated serine/threonine phosphatase 2C
Q07812;BAX;Apoptosis regulator BAX
Q9H2W6;MRPL46;Large ribosomal subunit protein mL46
Q9Y2V2;CARHSP1;Calcium-regulated heat-stable protein 1
P13647;KRT5;Keratin, type II cytoskeletal 5
P39905;GDNF;Glial cell line-derived neurotrophic factor
O94813;SLIT2;Slit homolog 2 protein
P29475;NOS1;Nitric oxide synthase 1
O14523;C2CD2L;Phospholipid transfer protein C2CD2L
Q9UBB4;ATXN10;Ataxin-10
Q9H3R2;MUC13;Mucin-13
Q9NRG1;PRTFDC1;Phosphoribosyltransferase domain-containing protein 1
Q16762;TST;Thiosulfate sulfurtransferase
Q13426;XRCC4;DNA repair protein XRCC4
Q15633;TARBP2;RISC-loading complex subunit TARBP2
P07196;NEFL;Neurofilament light polypeptide
P49789;FHIT;Bis(5'-adenosyl)-triphosphatase
Q6UWL6;KIRREL2;Kin of IRRE-like protein 2
Q9Y2W6;TDRKH;Tudor and KH domain-containing protein
P09211;GSTP1;Glutathione S-transferase P
P61244;MAX;Protein max
Q96FQ6;S100A16;Protein S100-A16
O00399;DCTN6;Dynactin subunit 6
Q13308;PTK7;Inactive tyrosine-protein kinase 7
P23276;KEL;Kell blood group glycoprotein
Q9UPY6;WASF3;Actin-binding protein WASF3
Q8WUW1;BRK1;Protein BRICK1
O95466;FMNL1;Formin-like protein 1
Q9NS71;GKN1;Gastrokine-1
Q9UJ72;ANXA10;Annexin A10
P30519;HMOX2;Heme oxygenase 2
Q86Z14;KLB;Beta-klotho
Q6UXK2;ISLR2;Immunoglobulin superfamily containing leucine-rich repeat protein 2
Q92917;GPKOW;G-patch domain and KOW motifs-containing protein
P42892;ECE1;Endothelin-converting enzyme 1
Q9UHV9;PFDN2;Prefoldin subunit 2
Q92851;CASP10;Caspase-10
Q9NQ88;TIGAR;Fructose-2,6-bisphosphatase TIGAR
Q96B36;AKT1S1;Proline-rich AKT1 substrate 1
O95994;AGR2;Anterior gradient protein 2 homolog
P16444;DPEP1;Dipeptidase 1
Q9Y4K4;MAP4K5;Mitogen-activated protein kinase kinase kinase kinase 5
O95256;IL18RAP;Interleukin-18 receptor accessory protein
P52943;CRIP2;Cysteine-rich protein 2
P63098;PPP3R1;Calcineurin subunit B type 1
P14868;DARS1;Aspartate--tRNA ligase, cytoplasmic
Q9Y6D9;MAD1L1;Mitotic spindle assembly checkpoint protein MAD1
O14944;EREG;Proepiregulin
Q86WV1;SKAP1;Src kinase-associated phosphoprotein 1
P29218;IMPA1;Inositol monophosphatase 1
P18031;PTPN1;Tyrosine-protein phosphatase non-receptor type 1
P36269;GGT5;Glutathione hydrolase 5 proenzyme
Q16740;CLPP;ATP-dependent Clp protease proteolytic subunit, mitochondrial
P05231;IL6;Interleukin-6
Q92932;PTPRN2;Receptor-type tyrosine-protein phosphatase N2
Q9HAN9;NMNAT1;Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1
