UniProt ID,Gene,Protein name
P49763,PGF,Placenta growth factor
Q96D42,HAVCR1,Hepatitis A virus cellular receptor 1
O00182,LGALS9,Galectin-9
O00220,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A
O00253,AGRP,Agouti-related protein
O14763,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B
O14836,TNFRSF13B,Tumor necrosis factor receptor superfamily member 13B
O43915,VEGFD,Vascular endothelial growth factor D
O94907,DKK1,Dickkopf-related protein 1
P00797,REN,Renin
P01127,PDGFB,Platelet-derived growth factor subunit B
P01241,GH1,Somatotropin
P01730,CD4,T-cell surface glycoprotein CD4
P01833,PIGR,Polymeric immunoglobulin receptor
P02760,AMBP,Protein AMBP
P04179,SOD2,"Superoxide dismutase [Mn], mitochondrial"
P04792,HSPB1,Heat shock protein beta-1
P05231,IL6,Interleukin-6
P06858,LPL,Lipoprotein lipase
P07204,THBD,Thrombomodulin
P07585,DCN,Decorin
P07711,CTSL,Procathepsin L
P09237,MMP7,Matrilysin
P09341,CXCL1,Growth-regulated alpha protein
P09601,HMOX1,Heme oxygenase 1
P09874,PARP1,Poly [ADP-ribose] polymerase 1
P10147,CCL3,C-C motif chemokine 3
P12104,FABP2,"Fatty acid-binding protein, intestinal"
P12931,SRC,Proto-oncogene tyrosine-protein kinase Src
P13726,F3,Tissue factor
P16860,NPPB,Natriuretic peptides B
P18510,IL1RN,Interleukin-1 receptor antagonist protein
P19883,FST,Follistatin
P21583,KITLG,Kit ligand
P21980,TGM2,Protein-glutamine gamma-glutamyltransferase 2
P22004,BMP6,Bone morphogenetic protein 6
P24394,IL4R,Interleukin-4 receptor subunit alpha
P25116,F2R,Proteinase-activated receptor 1
P26022,PTX3,Pentraxin-related protein PTX3
P27352,CBLIF,Cobalamin binding intrinsic factor
P29965,CD40LG,CD40 ligand
P31994,FCGR2B,Low affinity immunoglobulin gamma Fc region receptor II-b
P31997,CEACAM8,Carcinoembryonic antigen-related cell adhesion molecule 8
P35218,CA5A,"Carbonic anhydrase 5A, mitochondrial"
P35318,ADM,Pro-adrenomedullin
P35442,THBS2,Thrombospondin-2
P35475,IDUA,Alpha-L-iduronidase
P39900,MMP12,Macrophage metalloelastase
P40225,THPO,Thrombopoietin
P41159,LEP,Leptin
P47992,XCL1,Lymphotactin
P51161,FABP6,Gastrotropin
P51888,PRELP,Prolargin
P78380,OLR1,Oxidized low-density lipoprotein receptor 1
Q02763,TEK,Angiopoietin-1 receptor
Q04760,GLO1,Lactoylglutathione lyase
Q12866,MERTK,Tyrosine-protein kinase Mer
Q13043,STK4,Serine/threonine-protein kinase 4
Q13219,PAPPA,Pappalysin-1
Q14005,IL16,Pro-interleukin-16
Q14116,IL18,Interleukin-18
Q14242,SELPLG,P-selectin glycoprotein ligand 1
Q15109,AGER,Advanced glycosylation end product-specific receptor
Q15389,ANGPT1,Angiopoietin-1
Q16651,PRSS8,Prostasin
Q16698,DECR1,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial"
Q76LX8,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13
Q8IW75,SERPINA12,Serpin A12
Q8IYS5,OSCAR,Osteoclast-associated immunoglobulin-like receptor
Q8TAD2,IL17D,Interleukin-17D
Q92583,CCL17,C-C motif chemokine 17
Q96IQ7,VSIG2,V-set and immunoglobulin domain-containing protein 2
Q99075,HBEGF,Proheparin-binding EGF-like growth factor
Q99523,SORT1,Sortilin
Q99895,CTRC,Chymotrypsin-C
Q9BQ51,PDCD1LG2,Programmed cell death 1 ligand 2
Q9BQR3,PRSS27,Serine protease 27
Q9BUD6,SPON2,Spondin-2
Q9BWV1,BOC,Brother of CDO
Q9BYF1,ACE2,Angiotensin-converting enzyme 2
Q9GZV9,FGF23,Fibroblast growth factor 23
Q9HB29,IL1RL2,Interleukin-1 receptor-like 2
Q9NQ25,SLAMF7,SLAM family member 7
Q9NSA1,FGF21,Fibroblast growth factor 21
Q9UEW3,MARCO,Macrophage receptor MARCO
Q9UIB8,CD84,SLAM family member 5
Q9UJM8,HAO1,2-Hydroxyacid oxidase 1
Q9UK05,GDF2,Growth/differentiation factor 2
Q9UKP3,ITGB1BP2,Integrin beta-1-binding protein 2
Q9Y6K9,IKBKG,NF-kappa-B essential modulator
Q9Y6Q6,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A
Q14213_Q8NEV9,EBI3_IL27,Interleukin-27
