UniProt ID,Gene,Protein name
Q02763,TEK,Angiopoietin-1 receptor
P29965,CD40LG,CD40 ligand
Q15389,ANGPT1,Angiopoietin-1
P49763,PGF,Placenta growth factor
P05231,IL6,Interleukin-6
Q9Y653,ADGRG1,Adhesion G-protein coupled receptor G1
P13500,CCL2,C-C motif chemokine 2
P09038,FGF2,Fibroblast growth factor 2
P01730,CD4,T-cell surface glycoprotein CD4
P29474,NOS3,Nitric oxide synthase 3
O00182,LGALS9,Galectin-9
Q14116,IL18,Interleukin-18
P43629,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1
P09341,CXCL1,Growth-regulated alpha protein
P01127,PDGFB,Platelet-derived growth factor subunit B
Q15116,PDCD1,Programmed cell death protein 1
P10747,CD28,T-cell-specific surface glycoprotein CD28
P05113,IL5,Interleukin-5
P09601,HMOX1,Heme oxygenase 1
P22301,IL10,Interleukin-10
P10147,CCL3,C-C motif chemokine 3
P09237,MMP7,Matrilysin
O76036,NCR1,Natural cytotoxicity triggering receptor 1
P07585,DCN,Decorin
Q92583,CCL17,C-C motif chemokine 17
P21246,PTN,Pleiotrophin
P48061,CXCL12,Stromal cell-derived factor 1
Q9UQV4,LAMP3,Lysosome-associated membrane glycoprotein 3
P39900,MMP12,Macrophage metalloelastase
Q9BQ51,PDCD1LG2,Programmed cell death 1 ligand 2
P18627,LAG3,Lymphocyte activation gene 3 protein
P42701,IL12RB1,Interleukin-12 receptor subunit beta-1
Q13241,KLRD1,Natural killer cells antigen CD94
Q01151,CD83,CD83 antigen
O14625,CXCL11,C-X-C motif chemokine 11
O15123,ANGPT2,Angiopoietin-2
O43508,TNFSF12,Tumor necrosis factor ligand superfamily member 12
O43557,TNFSF14,Tumor necrosis factor ligand superfamily member 14
O43927,CXCL13,C-X-C motif chemokine 13
O75144,ICOSLG,ICOS ligand
O75509,TNFRSF21,Tumor necrosis factor receptor superfamily member 21
O95727,CRTAM,Cytotoxic and regulatory T-cell molecule
O95760,IL33,Interleukin-33
P00813,ADA,Adenosine deaminase
P01133,EGF,Pro-epidermal growth factor
P01137,TGFB1,Transforming growth factor beta-1 proprotein
P01375,TNF,Tumor necrosis factor
P01579,IFNG,Interferon gamma
P01583,IL1A,Interleukin-1 alpha
P01732,CD8A,T-cell surface glycoprotein CD8 alpha chain
P02778,CXCL10,C-X-C motif chemokine 10
P05089,ARG1,Arginase-1
P05112,IL4,Interleukin-4
P06127,CD5,T-cell surface glycoprotein CD5
P09382,LGALS1,Galectin-1
P09603,CSF1,Macrophage colony-stimulating factor 1
P10144,GZMB,Granzyme B
P10145,CXCL8,Interleukin-8
P12544,GZMA,Granzyme A
P13232,IL7,Interleukin-7
P13236,CCL4,C-C motif chemokine 4
P14210,HGF,Hepatocyte growth factor
P15692,VEGFA,"Vascular endothelial growth factor A, long form"
P20718,GZMH,Granzyme H
P25942,CD40,Tumor necrosis factor receptor superfamily member 5
P26842,CD27,CD27 antigen
P32970,CD70,CD70 antigen
P35225,IL13,Interleukin-13
P35968,KDR,Vascular endothelial growth factor receptor 2
P40933,IL15,Interleukin-15
P42830,CXCL5,C-X-C motif chemokine 5
P43489,TNFRSF4,Tumor necrosis factor receptor superfamily member 4
P48023,FASLG,Tumor necrosis factor ligand superfamily member 6
P50591,TNFSF10,Tumor necrosis factor ligand superfamily member 10
P55773,CCL23,C-C motif chemokine 23
P60568,IL2,Interleukin-2
P78423,CX3CL1,Fractalkine
P78556,CCL20,C-C motif chemokine 20
P80075,CCL8,C-C motif chemokine 8
P80098,CCL7,C-C motif chemokine 7
Q07011,TNFRSF9,Tumor necrosis factor receptor superfamily member 9
Q07325,CXCL9,C-X-C motif chemokine 9
Q14790,CASP8,Caspase-8
Q16790,CA9,Carbonic anhydrase 9
Q8WXI7,MUC16,Mucin-16
Q99616,CCL13,C-C motif chemokine 13
Q99731,CCL19,C-C motif chemokine 19
Q9BZW8,CD244,Natural killer cell receptor 2B4
Q9NP84,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A
Q9NZQ7,CD274,Programmed cell death 1 ligand 1
Q29980_Q29983,MICB_MICA,MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B
P29459_P29460,IL12A_IL12B,Interleukin-12
