UniProt ID,Gene,Protein name
Q9HAW4,CLSPN,Claspin
Q86SJ6,DSG4,Desmoglein-4
Q07954,LRP1,Prolow-density lipoprotein receptor-related protein 1
Q8NC01,CLEC1A,C-type lectin domain family 1 member A
P49023,PXN,Paxillin
Q15797,SMAD1,Mothers against decapentaplegic homolog 1
P30838,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring"
P48730,CSNK1D,Casein kinase I isoform delta
Q02880,TOP2B,DNA topoisomerase 2-beta
Q9BXJ7,AMN,Protein amnionless
P49763,PGF,Placenta growth factor
Q03426,MVK,Mevalonate kinase
Q9Y653,ADGRG1,Adhesion G-protein coupled receptor G1
Q9NQ88,TIGAR,"Fructose-2,6-bisphosphatase TIGAR"
Q8N8S7,ENAH,Protein enabled homolog
P01588,EPO,Erythropoietin
Q9NRA1,PDGFC,Platelet-derived growth factor C
O95994,AGR2,Anterior gradient protein 2 homolog
Q9Y478,PRKAB1,5'-AMP-activated protein kinase subunit beta-1
P42658,DPP6,Dipeptidyl aminopeptidase-like protein 6
O95831,AIFM1,"Apoptosis-inducing factor 1, mitochondrial"
Q13145,BAMBI,BMP and activin membrane-bound inhibitor homolog
P40121,CAPG,Macrophage-capping protein
P55957,BID,BH3-interacting domain death agonist
P80303,NUCB2,Nucleobindin-2
P29474,NOS3,Nitric oxide synthase 3
P19429,TNNI3,"Troponin I, cardiac muscle"
O00748,CES2,Cocaine esterase
O15357,INPPL1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2"
Q9NXA8,SIRT5,"NAD-dependent protein deacylase sirtuin-5, mitochondrial"
Q11201,ST3GAL1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1"
P07332,FES,Tyrosine-protein kinase Fes/Fps
P43629,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1
Q9ULX7,CA14,Carbonic anhydrase 14
Q9UKL0,RCOR1,REST corepressor 1
P09960,LTA4H,Leukotriene A-4 hydrolase
O43854,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3
Q12778,FOXO1,Forkhead box protein O1
O43570,CA12,Carbonic anhydrase 12
O60240,PLIN1,Perilipin-1
O75569,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A
O75688,PPM1B,Protein phosphatase 1B
P07947,YES1,Tyrosine-protein kinase Yes
Q9Y5L3,ENTPD2,Ectonucleoside triphosphate diphosphohydrolase 2
Q9P0J1,PDP1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial"
Q7L8A9,VASH1,Tubulinyl-Tyr carboxypeptidase 1
Q9GZY6,LAT2,Linker for activation of T-cells family member 2
Q96D42,HAVCR1,Hepatitis A virus cellular receptor 1
Q9UNK0,STX8,Syntaxin-8
Q96RT1,ERBIN,Erbin
P20936,RASA1,Ras GTPase-activating protein 1
Q7L5Y9,MAEA,E3 ubiquitin-protein transferase MAEA
Q86SR1,GALNT10,Polypeptide N-acetylgalactosaminyltransferase 10
P35070,BTC,Probetacellulin
Q15165,PON2,Serum paraoxonase/arylesterase 2
Q9Y5V3,MAGED1,Melanoma-associated antigen D1
P23582,NPPC,C-type natriuretic peptide
Q8NDB2,BANK1,B-cell scaffold protein with ankyrin repeats
Q8IUK5,PLXDC1,Plexin domain-containing protein 1
O60934,NBN,Nibrin
P61244,MAX,Protein max
O75354,ENTPD6,Ectonucleoside triphosphate diphosphohydrolase 6
Q9Y4K4,MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5
O14713,ITGB1BP1,Integrin beta-1-binding protein 1
Q9Y5A7,NUB1,NEDD8 ultimate buster 1
P49788,RARRES1,Retinoic acid receptor responder protein 1
P50749,RASSF2,Ras association domain-containing protein 2
P01258,CALCA,Calcitonin
P06850,CRH,Corticoliberin
P53582,METAP1,Methionine aminopeptidase 1
Q15116,PDCD1,Programmed cell death protein 1
P21246,PTN,Pleiotrophin
Q86WD7,SERPINA9,Serpin A9
O75787,ATP6AP2,Renin receptor
P19878,NCF2,Neutrophil cytosol factor 2
P09769,FGR,Tyrosine-protein kinase Fgr
P25786,PSMA1,Proteasome subunit alpha type-1
O60760,HPGDS,Hematopoietic prostaglandin D synthase
O00186,STXBP3,Syntaxin-binding protein 3
P68106,FKBP1B,Peptidyl-prolyl cis-trans isomerase FKBP1B
Q02246,CNTN2,Contactin-2
P42768,WAS,Actin nucleation-promoting factor WAS
Q12913,PTPRJ,Receptor-type tyrosine-protein phosphatase eta
Q7LG56,RRM2B,Ribonucleoside-diphosphate reductase subunit M2 B
Q13308,PTK7,Inactive tyrosine-protein kinase 7
P20472,PVALB,Parvalbumin alpha
Q9UHF1,EGFL7,Epidermal growth factor-like protein 7
Q0Z7S8,FABP9,Fatty acid-binding protein 9
P98073,TMPRSS15,Enteropeptidase
P01229,LHB,Lutropin subunit beta
P53539,FOSB,Protein FosB
P27797,CALR,Calreticulin
