UniProt ID,Gene,Protein name
P40933,IL15,Interleukin-15
O00308,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2
O14944,EREG,Proepiregulin
O15263,"DEFB4A, DEFB4B",Defensin beta 4A
O15496,PLA2G10,Group 10 secretory phospholipase A2
O60242,ADGRB3,Adhesion G protein-coupled receptor B3
O76070,SNCG,Gamma-synuclein
O94985,CLSTN1,Calsyntenin-1
P06748,NPM1,Nucleophosmin
P07196,NEFL,Neurofilament light polypeptide
P07306,ASGR1,Asialoglycoprotein receptor 1
P08962,CD63,CD63 antigen
P09211,GSTP1,Glutathione S-transferase P
P09466,PAEP,Glycodelin
P11464,PSG1,Pregnancy-specific beta-1-glycoprotein 1
P13284,IFI30,Gamma-interferon-inducible lysosomal thiol reductase
P13385,CRIPTO,Protein Cripto
P14625,HSP90B1,Endoplasmin
P16444,DPEP1,Dipeptidase 1
P18031,PTPN1,Tyrosine-protein phosphatase non-receptor type 1
P19801,AOC1,Diamine oxidase [copper-containing]
P20138,CD33,Myeloid cell surface antigen CD33
P21802,FGFR2,Fibroblast growth factor receptor 2
P23443,RPS6KB1,Ribosomal protein S6 kinase beta-1
P23588,EIF4B,Eukaryotic translation initiation factor 4B
P24001,IL32,Interleukin-32
P24071,FCAR,Immunoglobulin alpha Fc receptor
P26951,IL3RA,Interleukin-3 receptor subunit alpha
P29218,IMPA1,Inositol monophosphatase 1
P30519,HMOX2,Heme oxygenase 2
P32456,GBP2,Guanylate-binding protein 2
P32926,DSG3,Desmoglein-3
P36269,GGT5,Glutathione hydrolase 5 proenzyme
P37108,SRP14,Signal recognition particle 14 kDa protein
P40198,CEACAM3,Carcinoembryonic antigen-related cell adhesion molecule 3
P41208,CETN2,Centrin-2
P41227,NAA10,N-alpha-acetyltransferase 10
P42892,ECE1,Endothelin-converting enzyme 1
P43628,KIR2DL3,Killer cell immunoglobulin-like receptor 2DL3
P48357,LEPR,Leptin receptor
P49789,FHIT,Bis(5'-adenosyl)-triphosphatase
P51452,DUSP3,Dual specificity protein phosphatase 3
P52943,CRIP2,Cysteine-rich protein 2
P55291,CDH15,Cadherin-15
P58417,NXPH1,Neurexophilin-1
P63098,PPP3R1,Calcineurin subunit B type 1
P78560,CRADD,Death domain-containing protein CRADD
Q03393,PTS,6-pyruvoyl tetrahydrobiopterin synthase
Q06323,PSME1,Proteasome activator complex subunit 1
Q10589,BST2,Bone marrow stromal antigen 2
Q12864,CDH17,Cadherin-17
Q13444,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15
Q13451,FKBP5,Peptidyl-prolyl cis-trans isomerase FKBP5
Q14956,GPNMB,Transmembrane glycoprotein NMB
Q15126,PMVK,Phosphomevalonate kinase
Q16619,CTF1,Cardiotrophin-1
Q16864,ATP6V1F,V-type proton ATPase subunit F
Q5JZY3,EPHA10,Ephrin type-A receptor 10
Q6UWL6,KIRREL2,Kin of IRRE-like protein 2
Q6UX27,VSTM1,V-set and transmembrane domain-containing protein 1
Q6UXK2,ISLR2,Immunoglobulin superfamily containing leucine-rich repeat protein 2
Q86Z14,KLB,Beta-klotho
Q8IU54,IFNL1,Interferon lambda-1
Q8IX05,CD302,CD302 antigen
Q8N474,SFRP1,Secreted frizzled-related protein 1
Q8TCT1,PHOSPHO1,Phosphoethanolamine/phosphocholine phosphatase
Q92597,NDRG1,Protein NDRG1
Q969M7,UBE2F,NEDD8-conjugating enzyme UBE2F
Q96B36,AKT1S1,Proline-rich AKT1 substrate 1
Q96EK5,KIFBP,KIF-binding protein
Q96EP0,RNF31,E3 ubiquitin-protein ligase RNF31
Q96IU4,ABHD14B,Putative protein-lysine deacylase ABHD14B
Q96RJ3,TNFRSF13C,Tumor necrosis factor receptor superfamily member 13C
Q99426,TBCB,Tubulin-folding cofactor B
Q9BTE6,AARSD1,Alanyl-tRNA editing protein Aarsd1
Q9BW30,TPPP3,Tubulin polymerization-promoting protein family member 3
Q9BYC5,FUT8,"Alpha-(1,6)-fucosyltransferase"
Q9H0C8,ILKAP,Integrin-linked kinase-associated serine/threonine phosphatase 2C
Q9H477,RBKS,Ribokinase
Q9H4A9,DPEP2,Dipeptidase 2
Q9H4F8,SMOC1,SPARC-related modular calcium-binding protein 1
Q9NRG1,PRTFDC1,Phosphoribosyltransferase domain-containing protein 1
Q9NS15,LTBP3,Latent-transforming growth factor beta-binding protein 3
Q9UHV9,PFDN2,Prefoldin subunit 2
Q9UJ72,ANXA10,Annexin A10
Q9UK53,ING1,Inhibitor of growth protein 1
Q9UKS7,IKZF2,Zinc finger protein Helios
Q9Y2V2,CARHSP1,Calcium-regulated heat-stable protein 1
Q9Y4X3,CCL27,C-C motif chemokine 27
Q9Y5P4,CERT1,Ceramide transfer protein
Q9Y680,FKBP7,Peptidyl-prolyl cis-trans isomerase FKBP7
Q9Y6D9,MAD1L1,Mitotic spindle assembly checkpoint protein MAD1
