UniProt ID,Gene,Protein name
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9
O14558,HSPB6,Heat shock protein beta-6
O43524,FOXO3,Forkhead box protein O3
O43707,ACTN4,Alpha-actinin-4
O60542,PSPN,Persephin
O60575,SPINK4,Serine protease inhibitor Kazal-type 4
O60763,USO1,General vesicular transport factor p115
O60907,TBL1X,F-box-like/WD repeat-containing protein TBL1X
O75695,RP2,Protein XRP2
O76038,SCGN,Secretagogin
O95379,TNFAIP8,Tumor necrosis factor alpha-induced protein 8
O95715,CXCL14,C-X-C motif chemokine 14
P01303,NPY,Pro-neuropeptide Y
P01584,IL1B,Interleukin-1 beta
P01591,JCHAIN,Immunoglobulin J chain
P02745,C1QA,Complement C1q subcomponent subunit A
P02771,AFP,Alpha-fetoprotein
P05187,ALPP,"Alkaline phosphatase, placental type"
P06865,HEXA,Beta-hexosaminidase subunit alpha
P08397,HMBS,Porphobilinogen deaminase
P09105,HBQ1,Hemoglobin subunit theta-1
P09110,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal"
P0DN86,"CGB3, CGB5, CGB8",Choriogonadotropin subunit beta 3
P12872,MLN,Promotilin
P13521,SCG2,Secretogranin-2
P13693,TPT1,Translationally-controlled tumor protein
P13747,HLA-E,"HLA class I histocompatibility antigen, alpha chain E"
P15121,AKR1B1,Aldo-keto reductase family 1 member B1
P17948,FLT1,Vascular endothelial growth factor receptor 1
P20273,CD22,B-cell receptor CD22
P20340,RAB6A,Ras-related protein Rab-6A
P20849,COL9A1,Collagen alpha-1(IX) chain
P28827,PTPRM,Receptor-type tyrosine-protein phosphatase mu
P28838,LAP3,Cytosol aminopeptidase
P30260,CDC27,Cell division cycle protein 27 homolog
P32004,L1CAM,Neural cell adhesion molecule L1
P33241,LSP1,Lymphocyte-specific protein 1
P35637,FUS,RNA-binding protein FUS
P36888,FLT3,Receptor-type tyrosine-protein kinase FLT3
P38484,IFNGR2,Interferon gamma receptor 2
P42331,ARHGAP25,Rho GTPase-activating protein 25
P42575,CASP2,Caspase-2
P43490,NAMPT,Nicotinamide phosphoribosyltransferase
P48643,CCT5,T-complex protein 1 subunit epsilon
P49441,INPP1,Inositol polyphosphate 1-phosphatase
P51580,TPMT,Thiopurine S-methyltransferase
P55008,AIF1,Allograft inflammatory factor 1
P55039,DRG2,Developmentally-regulated GTP-binding protein 2
P55789,GFER,FAD-linked sulfhydryl oxidase ALR
P62166,NCS1,Neuronal calcium sensor 1
Q08174,PCDH1,Protocadherin-1
Q12904,AIMP1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1
Q13459,MYO9B,Unconventional myosin-IXb
Q14241,ELOA,Elongin-A
Q14353,GAMT,Guanidinoacetate N-methyltransferase
Q14773,ICAM4,Intercellular adhesion molecule 4
Q496F6,CD300E,CMRF35-like molecule 2
Q53H82,LACTB2,Endoribonuclease LACTB2
Q5VIR6,VPS53,Vacuolar protein sorting-associated protein 53 homolog
Q6PCB0,VWA1,von Willebrand factor A domain-containing protein 1
Q7Z5L0,VMO1,Vitelline membrane outer layer protein 1 homolog
Q7Z739,YTHDF3,YTH domain-containing family protein 3
Q86SF2,GALNT7,N-acetylgalactosaminyltransferase 7
Q8IWL2,SFTPA1,Pulmonary surfactant-associated protein A1
Q8NEZ2,VPS37A,Vacuolar protein sorting-associated protein 37A
Q8WUW1,BRK1,Protein BRICK1
Q92832,NELL1,Protein kinase C-binding protein NELL1
Q93096,PTP4A1,Protein tyrosine phosphatase type IVA 1
Q96FQ6,S100A16,Protein S100-A16
Q96I15,SCLY,Selenocysteine lyase
Q96J42,TXNDC15,Thioredoxin domain-containing protein 15
Q96PD4,IL17F,Interleukin-17F
Q99536,VAT1,Synaptic vesicle membrane protein VAT-1 homolog
Q99795,GPA33,Cell surface A33 antigen
Q9BS26,ERP44,Endoplasmic reticulum resident protein 44
Q9BSL1,UBAC1,Ubiquitin-associated domain-containing protein 1
Q9BYE9,CDHR2,Cadherin-related family member 2
Q9H0P0,NT5C3A,Cytosolic 5'-nucleotidase 3A
Q9H3G5,CPVL,Probable serine carboxypeptidase CPVL
Q9H773,DCTPP1,dCTP pyrophosphatase 1
Q9H8J5,MANSC1,MANSC domain-containing protein 1
Q9HD26,GOPC,Golgi-associated PDZ and coiled-coil motif-containing protein
Q9NTU7,CBLN4,Cerebellin-4
Q9P1Z2,CALCOCO1,Calcium-binding and coiled-coil domain-containing protein 1
Q9UDT6,CLIP2,CAP-Gly domain-containing linker protein 2
Q9UHD8,SEPTIN9,Septin-9
Q9UJY5,GGA1,ADP-ribosylation factor-binding protein GGA1
Q9UMF0,ICAM5,Intercellular adhesion molecule 5
Q9Y2B0,CNPY2,Protein canopy homolog 2
Q9Y5K2,KLK4,Kallikrein-4
Q9Y5K8,ATP6V1D,V-type proton ATPase subunit D
Q9Y644,RFNG,"Beta-1,3-N-acetylglucosaminyltransferase radical fringe"
