UniProt ID,Gene,Protein name
P15692,VEGFA,"Vascular endothelial growth factor A, long form"
P01133,EGF,Pro-epidermal growth factor
P05231,IL6,Interleukin-6
P50591,TNFSF10,Tumor necrosis factor ligand superfamily member 10
P35968,KDR,Vascular endothelial growth factor receptor 2
P21583,KITLG,Kit ligand
P20718,GZMH,Granzyme H
P01135,TGFA,Protransforming growth factor alpha
P48023,FASLG,Tumor necrosis factor ligand superfamily member 6
P09382,LGALS1,Galectin-1
Q14956,GPNMB,Transmembrane glycoprotein NMB
Q16790,CA9,Carbonic anhydrase 9
P26842,CD27,CD27 antigen
P14210,HGF,Hepatocyte growth factor
P43489,TNFRSF4,Tumor necrosis factor receptor superfamily member 4
Q29980_Q29983,MICB_MICA,MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B
P15514,AREG,Amphiregulin
O75144,ICOSLG,ICOS ligand
O43927,CXCL13,C-X-C motif chemokine 13
P32970,CD70,CD70 antigen
Q8WXI7,MUC16,Mucin-16
P10144,GZMB,Granzyme B
O00548,DLL1,Delta-like protein 1
O00592,PODXL,Podocalyxin
O00622,CCN1,CCN family member 1
O14828,SCAMP3,Secretory carrier-associated membrane protein 3
O15455,TLR3,Toll-like receptor 3
O43895,XPNPEP2,Xaa-Pro aminopeptidase 2
O60259,KLK8,Kallikrein-8
O60911,CTSV,Cathepsin L2
O75888,TNFSF13,Tumor necrosis factor ligand superfamily member 13
O95274,LYPD3,Ly6/PLAUR domain-containing protein 3
O95388,CCN4,CCN family member 4
O95407,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B
O95971,CD160,CD160 antigen
P00519,ABL1,Tyrosine-protein kinase ABL1
P01298,PPY,Pancreatic polypeptide prohormone
P04083,ANXA1,Annexin A1
P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2
P06731,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5
P06756,ITGAV,Integrin alpha-V
P07948,LYN,Tyrosine-protein kinase Lyn
P07949,RET,Proto-oncogene tyrosine-protein kinase receptor Ret
P08069,IGF1R,Insulin-like growth factor 1 receptor
P08670,VIM,Vimentin
P09326,CD48,CD48 antigen
P09486,SPARC,SPARC
P09958,FURIN,Furin
P13688,CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1
P15260,IFNGR1,Interferon gamma receptor 1
P15328,FOLR1,Folate receptor alpha
P16870,CPE,Carboxypeptidase E
P18084,ITGB5,Integrin beta-5
P18827,SDC1,Syndecan-1
P21589,NT5E,5'-nucleotidase
P21741,MDK,Midkine
P21860,ERBB3,Receptor tyrosine-protein kinase erbB-3
P26447,S100A4,Protein S100-A4
P29317,EPHA2,Ephrin type-A receptor 2
P31949,S100A11,Protein S100-A11
P35052,GPC1,Glypican-1
P35916,FLT4,Vascular endothelial growth factor receptor 3
P37173,TGFBR2,TGF-beta receptor type-2
P38936,CDKN1A,Cyclin-dependent kinase inhibitor 1
P40222,TXLNA,Alpha-taxilin
P41439,FOLR3,Folate receptor gamma
P48307,TFPI2,Tissue factor pathway inhibitor 2
P50579,METAP2,Methionine aminopeptidase 2
P56279,TCL1A,T-cell leukemia/lymphoma protein 1A
P78325,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8
Q13158,FADD,FAS-associated death domain protein
Q13421,MSLN,Mesothelin
Q14508,WFDC2,WAP four-disulfide core domain protein 2
Q14512,FGFBP1,Fibroblast growth factor-binding protein 1
Q15303,ERBB4,Receptor tyrosine-protein kinase erbB-4
Q16674,MIA,Melanoma-derived growth regulatory protein
Q6BAA4,FCRLB,Fc receptor-like B
Q6UXB2,CXCL17,C-X-C motif chemokine 17
Q8TE58,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15
Q96NY8,NECTIN4,Nectin-4
Q99717,SMAD5,Mothers against decapentaplegic homolog 5
Q9BXY4,RSPO3,R-spondin-3
Q9BYH1,SEZ6L,Seizure 6-like protein
Q9HBG7,LY9,T-lymphocyte surface antigen Ly-9
Q9NQ30,ESM1,Endothelial cell-specific molecule 1
Q9NS68,TNFRSF19,Tumor necrosis factor receptor superfamily member 19
Q9P0G3,KLK14,Kallikrein-14
Q9UBG3,CRNN,Cornulin
Q9UBX7,KLK11,Kallikrein-11
Q9UJ71,CD207,C-type lectin domain family 4 member K
Q9UKR3,KLK13,Kallikrein-13
Q9Y5W5,WIF1,Wnt inhibitory factor 1
